Año,Trimestre,Provincia,Mbps (Media de bajada)
2019,2019Q1,San Luis,8.70855518875459
2019,2019Q1,Santa Cruz,5.77999297039756
2019,2019Q1,Santa Fe,12.986963477266
2019,2019Q1,Santiago Del Estero,6.41507073796908
2019,2019Q1,Tierra Del Fuego,6.3411014506123
2019,2019Q1,Tucumán,16.5732999645796
2018,2018Q4,Buenos Aires,16.9343630101501
2018,2018Q4,Capital Federal,22.9353019922347
2018,2018Q4,Catamarca,8.04392020265991
2018,2018Q4,Chaco,13.4920835702103
2018,2018Q4,Chubut,6.08522390368403
2018,2018Q4,Córdoba,15.8136674336298
2018,2018Q4,Corrientes,12.1389233933877
2018,2018Q4,Entre Ríos,11.023282490377
2018,2018Q4,Formosa,9.8168937119138
2018,2018Q4,Jujuy,8.56273760175261
2018,2018Q4,La Pampa,4.31909495794348
2018,2018Q4,La Rioja,7.09338212515489
2018,2018Q4,Mendoza,5.74667510243432
2018,2018Q4,Misiones,12.4951126741558
2018,2018Q4,Neuquén,15.8912336460704
2018,2018Q4,Río Negro,10.4870055652755
2018,2018Q4,Salta,10.4572840891359
2018,2018Q4,San Juan,5.71526653935785
2018,2018Q4,San Luis,8.81899279190052
2018,2018Q4,Santa Cruz,5.11950736477287
2018,2018Q4,Santa Fe,13.1792348999695
2018,2018Q4,Santiago Del Estero,6.30925524385175
2018,2018Q4,Tierra Del Fuego,7.43656200821403
2018,2018Q4,Tucumán,16.5832344455303
2018,2018Q3,Buenos Aires,16.7797351323622
2018,2018Q3,Capital Federal,21.6433683640614
2018,2018Q3,Catamarca,7.80652194153063
2018,2018Q3,Chaco,12.8949618906093
2018,2018Q3,Chubut,6.07672232294286
2018,2018Q3,Córdoba,14.8182495375679
2018,2018Q3,Corrientes,11.4932283654571
2018,2018Q3,Entre Ríos,10.5247535062873
2018,2018Q3,Formosa,9.31849544106828
2018,2018Q3,Jujuy,7.66987215181415
2018,2018Q3,La Pampa,4.28304837616766
2018,2018Q3,La Rioja,6.1560132256261
2018,2018Q3,Mendoza,5.78601567715813
2018,2018Q3,Misiones,12.4874857587211
2018,2018Q3,Neuquén,14.6742442866248
2018,2018Q3,Río Negro,10.0644600810675
2018,2018Q3,Salta,9.26584817756241
2018,2018Q3,San Juan,5.73820472587736
2018,2018Q3,San Luis,8.81498757935413
2018,2018Q3,Santa Cruz,5.36971571660038
2018,2018Q3,Santa Fe,12.3573260434886
2018,2018Q3,Santiago Del Estero,5.77984251236905
2018,2018Q3,Tierra Del Fuego,5.98788374717833
2018,2018Q3,Tucumán,15.2559503624883
2018,2018Q2,Buenos Aires,14.6793755121758
2018,2018Q2,Capital Federal,18.9381345892782
2018,2018Q2,Catamarca,7.69309650745294
2018,2018Q2,Chaco,12.4994601819958
2018,2018Q2,Chubut,5.32985773059891
2018,2018Q2,Córdoba,13.8768094063495
2018,2018Q2,Corrientes,10.8776528955992
2018,2018Q2,Entre Ríos,10.18670275176
2018,2018Q2,Formosa,8.97498653077717
2018,2018Q2,Jujuy,6.28934558921364
2018,2018Q2,La Pampa,4.09836417105747
2018,2018Q2,La Rioja,5.59186158436808
2018,2018Q2,Mendoza,5.88052966304504
